 48.0000    777.00
 48.1000    774.00
 48.2000    790.00
 48.3000    815.00
 48.4000    817.00
 48.5000    807.00
 48.6000    820.00
 48.7000    876.00
 48.8000    993.00
 48.9000   1437.00
 49.0000   2688.00
 49.1000   5386.00
 49.2000  10356.00
 49.3000  16060.00
 49.4000  18426.00
 49.5000  15661.00
 49.6000   9705.00
 49.7000   4555.00
 49.8000   1825.00
 49.9000   1069.00
 50.0000    956.00
 50.1000    880.00
 50.2000    861.00
 50.3000    876.00
 50.4000    909.00
 50.5000   1035.00
 50.6000   1127.00
 50.7000   1182.00
 50.8000   1185.00
 50.9000   1109.00
 51.0000   1020.00
 51.1000    910.00
 51.2000    814.00
 51.3000    771.00
 51.4000    781.00
 51.5000    798.00
 51.6000    801.00
 51.7000    787.00
 51.8000    763.00
 51.9000    764.00
